query_id,messy_input,input_type,correct_iupac,correct_inchikey,correct_cid,noise_type
Q001,ethanl,name,ethanol,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,702,typo
Q002,Ethanol,name,ethanol,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,702,mixed_case
Q003,grain alcohol,name,ethanol,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,702,common_name
Q004,CCO,smiles,ethanol,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,702,smiles
Q005,C2H6O,formula,ethanol,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,702,formula
Q006,ethanoi,name,ethanol,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,702,ocr_error
Q007,asprin,name,2-(acetyloxy)benzoic acid,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,2244,typo
Q008,ASPIRIN,name,2-(acetyloxy)benzoic acid,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,2244,mixed_case
Q009,acetylsalicylic acid,name,2-(acetyloxy)benzoic acid,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,2244,common_name
Q010,2-acetoxybenzoic acid,name,2-(acetyloxy)benzoic acid,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,2244,iupac_synonym
Q011,CC(=O)Oc1ccccc1C(=O)O,smiles,2-(acetyloxy)benzoic acid,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,2244,smiles
Q012,C9H8O4,formula,2-(acetyloxy)benzoic acid,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,2244,formula
Q013,paracetamol,name,N-(4-hydroxyphenyl)acetamide,RZVAJINKPMORJF-UHFFFAOYSA-N,1983,common_name
Q014,acetaminophen,name,N-(4-hydroxyphenyl)acetamide,RZVAJINKPMORJF-UHFFFAOYSA-N,1983,common_name
Q015,4-hydroxyacetanilide,name,N-(4-hydroxyphenyl)acetamide,RZVAJINKPMORJF-UHFFFAOYSA-N,1983,iupac_synonym
Q016,parasetamol,name,N-(4-hydroxyphenyl)acetamide,RZVAJINKPMORJF-UHFFFAOYSA-N,1983,typo
Q017,CC(=O)Nc1ccc(O)cc1,smiles,N-(4-hydroxyphenyl)acetamide,RZVAJINKPMORJF-UHFFFAOYSA-N,1983,smiles
Q018,paracetarnol,name,N-(4-hydroxyphenyl)acetamide,RZVAJINKPMORJF-UHFFFAOYSA-N,1983,ocr_error
Q019,acetic acide,name,acetic acid,QTBSBXVTEAMEQO-UHFFFAOYSA-N,176,typo
Q020,vinegar acid,name,acetic acid,QTBSBXVTEAMEQO-UHFFFAOYSA-N,176,common_name
Q021,CH3COOH,formula,acetic acid,QTBSBXVTEAMEQO-UHFFFAOYSA-N,176,formula
Q022,ethanoic acid,name,acetic acid,QTBSBXVTEAMEQO-UHFFFAOYSA-N,176,iupac_synonym
Q023,CC(=O)O,smiles,acetic acid,QTBSBXVTEAMEQO-UHFFFAOYSA-N,176,smiles
Q024,acetic acid,name,acetic acid,QTBSBXVTEAMEQO-UHFFFAOYSA-N,176,exact
Q025,caffiene,name,"1,3,7-trimethylpurine-2,6(1H,3H)-dione",RYYVLZVUVIJVGH-UHFFFAOYSA-N,2519,typo
